Company Name,Industry,Symbol,Series,ISIN Code,Sector_Final
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028,Financial services
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018,Financial services
RITES Ltd.,CONSTRUCTION,RITES,EQ,INE320J01015,Real estate
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028,FMCG
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027,Real estate
Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025,Chemicals
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,EQ,INE343B01030,FMCG
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020,Fertilizers
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015,Fertilizers
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,EQ,INE703B01027,Metals
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014,Textiles
Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026,Services
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,EQ,INE131B01039,FMCG
Reliance Capital Ltd.,FINANCIAL SERVICES,RELCAPITAL,EQ,INE013A01015,Financial services
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018,Energy
Reliance Infrastructure Ltd.,ENERGY,RELINFRA,EQ,INE036A01016,Energy
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033,Energy
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015,Financial services
Responsive Industries Ltd.,INDUSTRIAL MANUFACTURING,RESPONIND,EQ,INE688D01026,Engineering & capital goods
S H Kelkar and Company Ltd.,CONSUMER GOODS,SHK,EQ,INE500L01026,FMCG
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016,Financial services
SJVN Ltd.,ENERGY,SJVN,EQ,INE002L01015,Energy
SKF India Ltd.,INDUSTRIAL MANUFACTURING,SKFINDIA,EQ,INE640A01023,Engineering & capital goods
SRF Ltd.,TEXTILES,SRF,EQ,INE647A01010,Textiles
Sadbhav Engineering Ltd.,CONSTRUCTION,SADBHAV,EQ,INE226H01026,Real estate
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010,Healthcare
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER,EQ,INE513A01014,Engineering & capital goods
Security and Intelligence Services (India) Ltd.,SERVICES,SIS,EQ,INE285J01028,Services
Sheela Foam Ltd.,CONSUMER GOODS,SFL,EQ,INE916U01025,FMCG
Shilpa Medicare Ltd.,PHARMA,SHILPAMED,EQ,INE790G01031,Healthcare
Shoppers Stop Ltd.,CONSUMER GOODS,SHOPERSTOP,EQ,INE498B01024,FMCG
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015,Building materials
Shree Renuka Sugars Ltd.,CONSUMER GOODS,RENUKA,EQ,INE087H01022,FMCG
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,EQ,INE722A01011,Financial services
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013,Financial services
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024,Engineering & capital goods
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015,Real estate
Solar Industries India Ltd.,CHEMICALS,SOLARINDS,EQ,INE343H01029,Chemicals
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021,Software services
South Indian Bank Ltd.,FINANCIAL SERVICES,SOUTHBANK,EQ,INE683A01023,Financial services
Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES,SPANDANA,EQ,INE572J01011,Financial services
Spicejet Ltd.,SERVICES,SPICEJET,EQ,INE285B01017,Services
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,EQ,INE460H01021,Building materials
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,Financial services
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011,Metals
Sterlite Technologies Ltd.,TELECOM,STRTECH,EQ,INE089C01029,Telecom
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011,Healthcare
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,EQ,INE659A01023,Chemicals
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014,Healthcare
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,Healthcare
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027,Media & entertainment
Sundaram Clayton Ltd.,AUTOMOBILE,SUNCLAYLTD,EQ,INE105A01035,Auto ancillary
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN,EQ,INE660A01013,Financial services
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST,EQ,INE387A01021,Auto ancillary
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034,Real estate
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,EQ,INE399C01030,Auto ancillary
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND,EQ,INE195A01028,Engineering & capital goods
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021,Engineering & capital goods
Swan Energy Ltd.,TEXTILES,SWANENERGY,EQ,INE665A01038,Textiles
Symphony Ltd.,CONSUMER GOODS,SYMPHONY,EQ,INE225D01027,FMCG
Syngene International Ltd.,PHARMA,SYNGENE,EQ,INE398R01022,Healthcare
TCI Express Ltd.,SERVICES,TCIEXP,EQ,INE586V01016,Services
TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS,EQ,INE778U01029,Textiles
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG,EQ,INE690A01010,FMCG
TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,EQ,INE038F01029,Media & entertainment
TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027,Media & entertainment
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023,Auto ancillary
Take Solutions Ltd.,PHARMA,TAKE,EQ,INE142I01023,Healthcare
Tasty Bite Eatables Ltd.,CONSUMER GOODS,TASTYBITE,EQ,INE488B01017,FMCG
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,Software services
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025,FMCG
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012,Software services
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01018,Financial services
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,EQ,IN9155A01020,Auto ancillary
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,Auto ancillary
Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021,Energy
Tata Steel BSL Ltd.,METALS,TATASTLBSL,EQ,INE824B01021,Metals
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,Metals
Teamlease Services Ltd.,SERVICES,TEAMLEASE,EQ,INE985S01024,Services
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,Software services
Techno Electric & Engineering Company Ltd.,CONSTRUCTION,TECHNOE,EQ,INE285K01026,Real estate
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL,EQ,INE470Y01017,Financial services
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037,Building materials
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,EQ,INE152A01029,Engineering & capital goods
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,EQ,INE594H01019,Healthcare
Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,TIMETECHNO,EQ,INE508G01029,Engineering & capital goods
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013,Engineering & capital goods
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028,FMCG
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028,Healthcare
Torrent Power Ltd.,ENERGY,TORNTPOWER,EQ,INE813H01021,Energy
Trent Ltd.,CONSUMER GOODS,TRENT,EQ,INE849A01020,FMCG
Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01022,Textiles
Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,TRITURBINE,EQ,INE152M01016,Engineering & capital goods
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,EQ,INE974X01010,Auto ancillary
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018,Financial services
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,EQ,INE516A01017,Engineering & capital goods
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,Fertilizers
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012,Financial services
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,Building materials
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016,Financial services
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025,FMCG
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024,FMCG
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027,FMCG
V-Mart Retail Ltd.,CONSUMER GOODS,VMART,EQ,INE665J01013,FMCG
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027,FMCG
VRL Logistics Ltd.,SERVICES,VRLLOG,EQ,INE366I01010,Services
VST Industries Ltd.,CONSUMER GOODS,VSTIND,EQ,INE710A01016,FMCG
Va Tech Wabag Ltd.,SERVICES,WABAG,EQ,INE956G01038,Services
Vaibhav Global Ltd.,CONSUMER GOODS,VAIBHAVGBL,EQ,INE884A01019,FMCG
Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021,Software services
Vardhman Textiles Ltd.,TEXTILES,VTL,EQ,INE825A01012,Textiles
Varroc Engineering Ltd.,AUTOMOBILE,VARROC,EQ,INE665L01035,Auto ancillary
Varun Beverages Ltd.,CONSUMER GOODS,VBL,EQ,INE200M01013,FMCG
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,Metals
Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS,EQ,INE398A01010,FMCG
Vinati Organics Ltd.,CHEMICALS,VINATIORGA,EQ,INE410B01037,Chemicals
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016,Telecom
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021,FMCG
WABCO India Ltd.,AUTOMOBILE,WABCOINDIA,EQ,INE342J01019,Auto ancillary
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025,Metals
Welspun India Ltd.,TEXTILES,WELSPUNIND,EQ,INE192B01031,Textiles
Westlife Development Ltd.,SERVICES,WESTLIFE,EQ,INE274F01020,Services
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013,FMCG
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,Software services
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025,Healthcare
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01027,Financial services
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028,Media & entertainment
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01027,Software services
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,EQ,INE768C01010,FMCG
eClerx Services Ltd.,IT,ECLERX,EQ,INE738I01010,Software services
